,sessionId,flow,pWStartTime,pWDuration,ip1Loc,port1Loc,ip2Loc,port2Loc,ip1Net,port1Net,ip2Net,port2Net,mediaType,avgCc,mos,mosC,vMosP,vMosR,poorScores,transportScore,locator,ssrc,auxSsrc,pType,codec,redPType,redCodec,auxPType,auxCodec,redAuxPType,redAuxCodec,routes,RTPAvgBr,RTPSdvBr,RTPMaxBr,RTPMinBr,RTPAvgFps,RTPSdvFps,RTPMaxFps,RTPMinFps,RTPAvgJitt,RTPSdvJitt,RTPMaxJitt,RTPMinJitt,RTPAvgDelta,RTPSdvDelta,RTPMaxDelta,RTPMinDelta,RTPSeenPack,RTPMissedPack,redPack,fecPack,auxSeenPack,auxMissedPack,redAuxPack,fecAuxPack,burstPackMissed,burstFreq,packReorder,RTCPSendRepPack,RTCPRecRepPack,STUNAvgRtt,STUNSdvRtt,STUNMaxRtt,STUNMinRtt,STUNBw
2956,4171865617886469680,3,1644234210000,10,52.113.49.230,3480,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,Audio,,0.00,,,,,,,0x6a5,,108,Satin,,,,,,,,21.78,12.40,39.76,1.76,33.00,15.31,51.00,2.00,0.07,0.11,0.83,0.00,20.00,2.46,31.40,5.99,335,0,0,5,,,,,0,0,0,2,21,110.40,24.89,191.54,73.63,12000.00
2957,4171865617886469680,4,1644234210000,10,52.113.49.230,3481,192.168.100.25,50043,52.113.49.230,3481,92.223.249.51,50043,Sharing,,0.00,,,,,,,0xc82,0xc83,122,H.264,,,122,H.264,,,,2.13,0.20,2.58,1.70,1.00,0.00,1.00,1.00,0.02,0.02,0.06,0.00,183.16,388.36,1072.45,0.00,80,0,0,30,11,0,0,0,0,0,0,3,0,103.85,17.67,155.88,74.60,12000.00
2958,4171865617886469680,2,1644234220000,10,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,52.113.49.230,3480,Audio,,0.00,,,,,,,0x721a,,108,Satin,,,,,,,,36.23,9.28,41.10,8.86,46.10,11.70,50.00,11.00,0.00,0.00,0.02,0.00,20.00,0.36,21.06,18.96,462,0,0,1,,,,,0,0,0,2,12,110.42,24.90,191.54,73.63,12000.00
2959,4171865617886469680,3,1644234220000,10,52.113.49.230,3480,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,Audio,,0.00,,,,,,,0x6a5,,108,Satin,,,,,,,,19.84,4.28,25.74,15.71,30.67,6.13,38.00,23.00,0.10,0.17,0.86,0.00,20.00,3.27,30.97,6.25,94,0,0,2,,,,,0,0,0,3,21,110.42,24.90,191.54,73.63,12000.00
2960,4171865617886469680,4,1644234220000,10,52.113.49.230,3481,192.168.100.25,50043,52.113.49.230,3481,92.223.249.51,50043,Sharing,,0.00,,,,,,,0xc82,0xc83,122,H.264,,,122,H.264,,,,17.16,22.66,61.99,2.16,1.30,0.46,2.00,1.00,0.03,0.06,0.17,0.00,122.83,297.75,1069.62,0.00,122,0,0,44,27,0,0,0,0,0,0,3,0,103.85,17.68,155.88,74.60,12000.00
2961,4171865617886469680,2,1644234230000,10,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,52.113.49.230,3480,Audio,,0.00,,,,,,,0x721a,,108,Satin,,,,,,,,40.22,1.94,41.85,34.78,50.00,0.00,50.00,50.00,0.00,0.00,0.02,0.00,20.00,0.47,22.24,17.98,500,0,0,0,,,,,0,0,0,3,12,110.40,24.89,191.54,73.63,12000.00
2962,4171865617886469680,3,1644234230000,10,52.113.49.230,3480,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,Audio,,0.00,,,,,,,0x6a5,,108,Satin,,,,,,,,23.05,14.48,39.26,4.11,32.33,19.60,50.00,5.00,0.12,0.17,0.78,0.00,20.18,4.21,44.29,7.59,98,0,0,1,,,,,0,0,0,0,30,110.40,24.89,191.54,73.63,12000.00
2963,4171865617886469680,4,1644234230000,10,52.113.49.230,3481,192.168.100.25,50043,52.113.49.230,3481,92.223.249.51,50043,Sharing,,0.00,,,,,,,0xc82,0xc83,122,H.264,,,122,H.264,,,,2.62,0.18,3.00,2.22,1.00,0.00,1.00,1.00,0.08,0.09,0.25,0.00,192.92,399.39,1075.47,0.00,80,0,0,30,10,0,0,0,0,0,0,4,0,103.83,17.68,155.88,74.60,12000.00
2964,4171865617886469680,2,1644234240000,10,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,52.113.49.230,3480,Audio,,0.00,,,,,,,0x721a,,108,Satin,,,,,,,,34.61,10.29,42.93,5.70,46.10,10.74,50.00,14.00,0.00,0.00,0.03,0.00,20.00,0.35,21.25,18.58,463,0,0,2,,,,,0,0,0,3,16,110.40,24.88,191.54,73.63,12000.00
2965,4171865617886469680,3,1644234240000,10,52.113.49.230,3480,192.168.100.25,50001,52.113.49.230,3480,92.223.249.51,50001,Audio,,0.00,,,,,,,0x6a5,,108,Satin,,,,,,,,31.83,7.92,39.74,14.90,44.30,9.53,50.00,21.00,0.04,0.09,0.80,0.00,20.00,1.78,33.22,6.05,446,0,0,3,,,,,0,0,0,3,21,110.40,24.88,191.54,73.63,12000.00
2966,4171865617886469680,4,1644234240000,10,52.113.49.230,3481,192.168.100.25,50043,52.113.49.230,3481,92.223.249.51,50043,Sharing,,0.00,,,,,,,0xc82,0xc83,122,H.264,,,122,H.264,,,,50.77,36.12,100.09,2.62,1.60,0.49,2.00,1.00,0.07,0.11,0.34,0.00,82.00,221.28,1052.19,0.00,186,0,0,65,51,0,0,0,0,0,0,2,0,103.84,17.67,155.88,74.60,12000.00
